line,sex,rep,concentration,exposure,total_flies,survival_proportion
371,F,2,0.8,48,1,0.05
371,F,3,0.8,48,6,0.4
371,F,4,0.8,48,3,0.176470588
491,F,1,0.8,48,12,0.6
491,F,2,0.8,48,7,0.35
491,F,3,0.8,48,10,0.5
491,F,4,0.8,48,12,0.6
508,F,1,0.8,48,1,0.0625
508,F,2,0.8,48,1,0.055555556
508,F,3,0.8,48,6,0.3
799,F,1,0.8,48,12,0.631578947
799,F,2,0.8,48,16,0.888888889
799,F,3,0.8,48,15,0.833333333
799,F,4,0.8,48,15,0.789473684
808,F,1,0.8,48,16,0.941176471
808,F,4,0.8,48,14,0.777777778
808,F,3,0.8,48,5,0.263157895
808,F,2,0.8,48,6,0.461538462
900,F,1,0.8,48,0,0
900,F,2,0.8,48,0,0
900,F,3,0.8,48,13,0.65
900,F,4,0.8,48,0,0
41,M,1,0.8,48,6,0.3
41,M,2,0.8,48,1,0.05
41,M,3,0.8,48,1,0.052631579
41,M,4,0.8,48,3,0.157894737
59,M,1,0.8,48,0,0
59,M,2,0.8,48,0,0
59,M,3,0.8,48,0,0
59,M,4,0.8,48,0,0
83,M,1,0.8,48,2,0.105263158
83,M,2,0.8,48,5,0.25
83,M,3,0.8,48,4,0.2
83,M,4,0.8,48,2,0.111111111
129,M,1,0.8,48,1,0.055555556
129,M,2,0.8,48,1,0.05
